# VFS Statistics
# ================
# ---------------------------
# Total energy at VFS level (J) : 
# ---------------------------
#  - CPU : 0.0570413
#  - Mem : 0.0215321
# ---------------------------
# Mean energy per syscall (J) : 
# -------------------------
#  - CPU : 4.74159e-05
#  - Mem : 1.78987e-05
# ---------------------------
# Mean exec. time per syscall (s) : 
# -------------------------
# 0.000247063
# ---------------------------
# Total time at VFS level (s) : 
# -------------------------
# 0.297216
# --------------------------------------
# Detailed timing / energy per syscall: 
# ---------------------------------------
# type ; time ; e_mem ; e_cpu
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;978.7;0.000140733;0.000372819
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;978.7;0.000140733;0.000372819
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;978.7;0.000140733;0.000372819
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_read;0.117188;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;978.7;0.000140733;0.000372819
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;978.7;0.000140733;0.000372819
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;978.7;0.000140733;0.000372819
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;978.7;0.000140733;0.000372819
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;978.7;0.000140733;0.000372819
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_read;0.117188;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
vfs_write;155.7;0;0
vfs_write;567.2;7.03665e-05;0.000186409
